timestamp_ms,center_x,center_y,right_x,right_y,left_x,left_y
1753954374785,1034,923,1034,973,1034,873
1753954374998,1035,924,1000,959,1070,889
1753954375222,1036,923,1071,958,1001,888
1753954375433,1035,920,1082,905,988,935
1753954375635,1036,893,1085,894,987,892
1753954375842,1037,860,1086,861,988,859
1753954376051,1042,815,1091,820,993,810
1753954376269,1047,786,1096,794,998,778
1753954376476,1052,755,1101,762,1003,748
1753954376681,1057,728,1106,737,1008,719
1753954376889,1062,703,1111,712,1013,694
1753954377101,1067,680,1115,690,1019,670
1753954377308,1072,655,1121,664,1023,646
1753954377515,1077,628,1126,637,1028,619
1753954377722,1084,607,1131,622,1037,592
1753954377926,1087,588,1136,595,1038,581
1753954378129,1092,569,1140,581,1044,557
1753954378334,1095,554,1144,563,1046,545
1753954378538,1098,535,1147,542,1049,528
1753954378740,1101,520,1150,529,1052,511
1753954440423,1033,918,984,910,1082,926
1753954440595,1033,918,1033,968,1033,868
1753954440772,1033,918,1033,968,1033,868
1753954440942,1033,918,1033,968,1033,868
1753954441125,1033,908,1083,908,983,908
1753954441292,1037,872,1086,877,988,867
1753954441458,1039,850,1088,854,990,846
1753954441633,1043,830,1092,839,994,821
1753954441801,1045,800,1094,803,996,797
1753954441972,1045,772,1095,772,995,772
1753954442141,1047,752,1096,756,998,748
1753954442318,1051,728,1100,736,1002,720
1753954442479,1057,702,1105,713,1009,691
1753954442658,1059,686,1108,692,1010,680
1753954442826,1069,664,1114,684,1024,644
1753954442995,1073,650,1121,663,1025,637
1753954443181,1077,636,1125,649,1029,623
1753954443354,1087,610,1133,627,1041,593
1753954443518,1091,598,1138,613,1044,583
1753954443685,1097,580,1144,595,1050,565
1753954443858,1097,568,1147,568,1047,568
1753954444030,1101,552,1149,564,1053,540
1753954444193,1103,540,1152,548,1054,532
1753954444363,1107,524,1155,536,1059,512
1753954444536,1109,514,1158,523,1060,505
1753954444706,1109,498,1159,498,1059,498
